2113,2598,10,squats
3210,3737,10,squats
5086,5615,10,squats
11960,12316,10,pushups
15150,15604,10,pushups
18065,18545,10,pushups
20509,21307,11,dumbbell_shoulder_press
21864,22424,10,dumbbell_shoulder_press
22819,23491,11,dumbbell_shoulder_press
24360,25215,10,lunges
29060,29765,10,lunges
33364,34129,10,lunges
34650,35244,10,situps
35503,36070,10,situps
36684,37260,10,situps
37940,38553,10,dumbbell_rows
39171,39797,10,dumbbell_rows
40294,40914,10,dumbbell_rows
46449,46981,10,dumbbell_rows
47520,48160,10,tricep_extensions
49681,50310,10,tricep_extensions
52658,53302,10,tricep_extensions
53815,54368,10,tricep_extensions
54733,55237,10,bicep_curls
63019,63514,10,bicep_curls
64099,64584,10,bicep_curls
65618,66249,10,lateral_shoulder_raises
68735,69542,11,lateral_shoulder_raises
71282,71944,10,lateral_shoulder_raises
72751,73157,10,jumping_jacks
73498,73925,10,jumping_jacks
74188,74529,10,jumping_jacks
