5487,6034,10,squats
6920,7475,10,squats
9238,9743,10,squats
10513,10902,10,pushups
12415,12790,10,pushups
15326,15677,10,pushups
17529,18063,10,dumbbell_shoulder_press
19536,20047,10,dumbbell_shoulder_press
22298,22773,10,dumbbell_shoulder_press
23865,24648,10,lunges
26003,26838,10,lunges
29792,30485,10,lunges
31581,31942,10,dumbbell_rows
34932,35258,10,dumbbell_rows
36980,37351,10,dumbbell_rows
38549,39310,10,situps
41935,42622,10,situps
47110,47860,11,situps
48994,49470,10,tricep_extensions
50492,50993,10,tricep_extensions
54070,54523,10,tricep_extensions
55781,56199,10,bicep_curls
57079,57460,10,bicep_curls
58786,59379,12,bicep_curls
61430,61903,10,lateral_shoulder_raises
63821,64308,10,lateral_shoulder_raises
66921,67441,10,lateral_shoulder_raises
69316,69665,11,jumping_jacks
71250,71560,11,jumping_jacks
72690,73024,10,jumping_jacks
