5812,6360,10,squats
7213,7735,10,squats
8965,9505,10,squats
10994,11331,10,pushups
12370,12740,10,pushups
13776,14190,10,pushups
14934,15569,10,dumbbell_shoulder_press
17592,18134,10,dumbbell_shoulder_press
20678,21165,10,dumbbell_shoulder_press
22081,22765,10,lunges
24908,25535,10,lunges
28118,28750,10,lunges
34870,35305,10,dumbbell_rows
38503,38855,10,dumbbell_rows
42945,43304,10,dumbbell_rows
46755,47442,10,situps
51991,52604,10,situps
55231,55840,10,situps
57410,57780,10,tricep_extensions
61322,61691,10,tricep_extensions
65990,66360,11,tricep_extensions
70103,70467,10,bicep_curls
