1785,2500,10,squats
3566,4325,10,squats
7663,8406,10,squats
9629,10111,10,pushups
13444,13974,10,pushups
17455,18010,10,pushups
22387,22825,9,dumbbell_shoulder_press
26753,27263,10,dumbbell_shoulder_press
29212,29659,10,dumbbell_shoulder_press
30819,31743,10,lunges
38546,39400,10,lunges
45218,46080,10,lunges
48910,49477,10,dumbbell_rows
56150,56746,10,dumbbell_rows
61484,62071,10,dumbbell_rows
63671,64648,10,situps
68617,69604,10,situps
74858,75834,10,situps
77321,77903,10,tricep_extensions
81625,82191,10,tricep_extensions
86883,87503,11,tricep_extensions
88761,89273,10,bicep_curls
96987,97563,10,bicep_curls
102140,102705,10,bicep_curls
104611,105213,10,lateral_shoulder_raises
111226,111843,10,lateral_shoulder_raises
115230,115820,10,lateral_shoulder_raises
117011,117334,10,jumping_jacks
118625,118948,10,jumping_jacks
121292,121612,10,jumping_jacks
