2830,3355,10,squats
3635,4153,10,squats
5112,5711,10,squats
6353,6780,10,pushups
7897,8360,10,pushups
9365,9761,10,pushups
10827,11280,9,dumbbell_shoulder_press
12724,13163,9,dumbbell_shoulder_press
15003,15433,9,dumbbell_shoulder_press
16821,17640,10,lunges
19636,20483,10,lunges
22735,23606,11,lunges
25085,25574,10,dumbbell_rows
28325,28786,10,dumbbell_rows
32611,33005,10,dumbbell_rows
33685,34307,10,situps
36225,36709,10,situps
39240,39650,9,situps
40292,40711,10,tricep_extensions
42667,43095,11,tricep_extensions
44208,44595,10,tricep_extensions
46262,46756,10,bicep_curls
47380,47858,10,bicep_curls
48482,49003,11,bicep_curls
50035,50450,10,lateral_shoulder_raises
52965,53402,10,lateral_shoulder_raises
55565,55988,10,lateral_shoulder_raises
56616,56910,10,jumping_jacks
57768,57981,11,jumping_jacks
58928,59156,10,jumping_jacks
