3772,4438,10,squats
5819,6385,10,squats
7413,7950,10,squats
9557,9951,10,pushups
11735,12465,10,pushups
13696,14306,10,pushups
15543,16189,10,pushups
17903,18709,10,dumbbell_shoulder_press
19977,20722,10,dumbbell_shoulder_press
22128,22869,10,dumbbell_shoulder_press
26293,27211,10,lunges
28479,29321,10,lunges
31545,32488,10,lunges
34400,35003,12,dumbbell_rows
36338,36920,10,dumbbell_rows
38449,38977,10,dumbbell_rows
45035,45777,10,situps
46903,47600,10,situps
49726,50157,6,situps
51339,52029,10,situps
54362,55185,10,tricep_extensions
56206,56978,10,tricep_extensions
58296,59000,10,tricep_extensions
60804,61420,10,bicep_curls
63421,64136,10,bicep_curls
66033,66793,10,bicep_curls
67542,68645,10,lateral_shoulder_raises
70267,71193,10,lateral_shoulder_raises
73521,74600,10,lateral_shoulder_raises
76070,76109,1,jumping_jacks
76490,76838,10,jumping_jacks
78177,78527,10,jumping_jacks
80046,80400,10,jumping_jacks
