2295,3003,11,squats
4028,4439,7,squats
5285,5934,11,squats
6606,7205,10,squats
8684,9105,10,pushups
10018,10454,10,pushups
11633,11986,9,pushups
12902,13345,12,pushups
15687,16209,10,dumbbell_shoulder_press
17120,17602,10,dumbbell_shoulder_press
18757,19295,11,dumbbell_shoulder_press
20035,20803,10,lunges
21841,22563,10,lunges
24253,25302,14,lunges
26802,27222,10,dumbbell_rows
27935,28287,10,dumbbell_rows
29634,29989,10,dumbbell_rows
31828,31970,2,situps
32480,33383,10,situps
35225,36120,10,situps
38653,39528,10,situps
40609,41070,10,tricep_extensions
41760,42300,12,tricep_extensions
43590,43972,10,tricep_extensions
45270,45866,10,bicep_curls
47995,48584,11,bicep_curls
49339,49893,10,bicep_curls
51395,52104,10,lateral_shoulder_raises
53577,54234,10,lateral_shoulder_raises
56524,57161,10,lateral_shoulder_raises
61209,61409,6,jumping_jacks
61486,61790,10,jumping_jacks
65275,65602,10,jumping_jacks
66308,66620,10,jumping_jacks
